,ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
count,5.000,5.000,5.000,5.000,5.000,5.000,5.000
mean,3.000,0.000,9.000,0.000,0.000,1.000,0.000
std,1.581,0.000,0.000,0.000,0.000,0.000,0.000
min,1.000,0.000,9.000,0.000,0.000,1.000,0.000
25%,2.000,0.000,9.000,0.000,0.000,1.000,0.000
50%,3.000,0.000,9.000,0.000,0.000,1.000,0.000
75%,4.000,0.000,9.000,0.000,0.000,1.000,0.000
max,5.000,0.000,9.000,0.000,0.000,1.000,0.000
