ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,0,9,0,0.000,1.000,0.000
2,0,9,0,0.000,1.000,0.000
3,0,9,0,0.000,1.000,0.000
4,0,9,0,0.000,1.000,0.000
5,0,9,0,0.000,1.000,0.000
