1167,1128,51,2.77033
1167,1168,69,1.4576
1128,1089,90,4.01099
1168,1129,105,4.01099
1089,1050,125,5.11795
1129,1090,136,5.11795
1168,1169,137,1.58219
1050,1011,153,5.11795
1167,1127,155,0.730507
1090,1051,164,5.11795
1169,1130,165,5.11795
1011,972,181,9.76878
1127,1088,182,9.76878
1051,1012,187,9.76878
1130,1091,187,9.76878
972,933,196,9.76878
1088,1049,197,9.76878
1091,1052,202,9.76878
1012,973,202,9.76878
1169,1170,202,1.49254
933,894,211,9.76878
1049,1010,212,9.76878
894,855,214,56.8947
855,816,217,56.8947
1170,1131,217,9.76878
973,934,217,9.76878
1052,1013,217,9.76878
816,777,220,56.8947
934,895,220,56.8947
777,738,223,56.8947
895,856,223,56.8947
738,699,226,56.8947
856,817,226,56.8947
1010,971,227,9.76878
699,660,229,56.8947
817,778,229,56.8947
660,621,232,56.8947
778,739,232,56.8947
1013,974,232,9.76878
1131,1092,232,9.76878
621,582,235,56.8947
739,700,235,56.8947
974,935,235,56.8947
894,854,236,4.11794
582,543,238,56.8947
700,661,238,56.8947
935,896,238,56.8947
854,815,239,56.8947
855,815,239,4.11794
543,504,241,75.4823
661,622,241,75.4823
896,857,241,75.4823
971,932,242,13.8618
815,776,242,75.4823
816,776,242,4.25328
504,465,243,75.4823
622,583,243,75.4823
857,818,243,75.4823
776,737,244,75.4823
583,544,245,75.4823
818,779,245,75.4823
1092,1053,245,13.8618
737,698,246,75.4823
544,505,247,75.4823
779,740,247,75.4823
698,659,248,75.4823
505,466,249,75.4823
740,701,249,75.4823
659,620,250,75.4823
701,662,251,75.4823
620,581,252,75.4823
974,975,252,5.24406
662,623,253,75.4823
932,893,253,13.8618
975,936,254,75.4823
581,542,254,75.4823
465,426,254,13.8618
623,584,255,75.4823
936,897,256,75.4823
542,503,256,75.4823
1053,1014,256,13.8618
584,545,257,75.4823
897,858,258,75.4823
503,464,258,75.4823
545,506,259,75.4823
858,819,260,75.4823
466,427,260,13.8618
464,425,260,75.4823
854,814,260,4.25328
819,780,262,75.4823
814,775,262,75.4823
780,741,264,75.4823
775,736,264,75.4823
426,387,265,13.8618
741,702,266,75.4823
736,697,266,75.4823
702,663,268,75.4823
697,658,268,75.4823
